Title,Category,Difficulty,Points,Question,Answer,Hint
The Beginning,Misc,Easy,50,What is the first letter of the English alphabet?,a,Think about the very beginning.
Web Basics,Web,Easy,100,What port does HTTP run on by default?,80,It's not 443.
Localhost,Networking,Medium,150,What is the IPv4 loopback address?,127.0.0.1,There's no place like home.
Flag Format,Misc,Easy,100,What letters does the flag start with?,cc,Look at the instructions.
Math Time,Misc,Easy,50,What is 9 + 10?,21,You know the meme.
Quick Maths,Misc,Medium,150,If you have 3 apples and you take away 2, how many apples do you have?,2,Because you took them!
Linux Commands,OS,Medium,200,What command is used to list directory contents in Linux?,ls,It stands for list.
Secure Shell,Networking,Medium,200,What port does SSH typically run on?,22,It's a two-digit number.
File Extensions,Web,Easy,100,What does HTML stand for?,HyperText Markup Language,The backbone of the web.
The Answer,Misc,Insane,500,What is the answer to life the universe and everything?,42,Hitchhiker's Guide.
